ANOMALY REPORT
======================================================================

── PARTIAL_TIMEOUT  (436) ──
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-43.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-44.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-45.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-46.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-47.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-48.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-49.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-5.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/mixed/sat]  symcc-assertions-6.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-7.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-8.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/sat]  symcc-assertions-9.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-0.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/mixed/unsat]  symcc-unsat-1.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/mixed/unsat]  symcc-unsat-10.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-11.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-12.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-13.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-14.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-15.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-16.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-17.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-18.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-19.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-2.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/mixed/unsat]  symcc-unsat-20.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-21.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-22.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-23.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-24.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-25.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-26.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-27.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-28.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-29.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-3.smt2
    timeout: ['cvc5']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-30.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-31.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-32.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-33.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-34.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-35.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-36.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-37.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-38.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-39.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-4.smt2
    timeout: ['cvc5']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-40.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-41.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-42.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-43.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-44.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-45.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-46.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-47.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-48.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-49.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-5.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-6.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-7.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-8.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/mixed/unsat]  symcc-unsat-9.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-0.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/string_only/sat]  symcc-assertions-10.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-100.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/string_only/sat]  symcc-assertions-101.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-102.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/string_only/sat]  symcc-assertions-103.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-104.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/string_only/sat]  symcc-assertions-105.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-106.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/string_only/sat]  symcc-assertions-107.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-108.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-109.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-11.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-110.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-111.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-112.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-113.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-114.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-115.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-116.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-117.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-118.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-119.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-12.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-120.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-121.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-122.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-123.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-124.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-125.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-126.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-127.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-128.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-129.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-13.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-130.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-131.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-132.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-133.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-134.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-135.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-136.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-137.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-138.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-139.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-140.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-141.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-142.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-143.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/sat]  symcc-assertions-144.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-0.smt2
    timeout: ['noodler']  solved: ['cvc5', 'z3']
  [b64/string_only/unsat]  symcc-unsat-10.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-100.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-101.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-102.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-103.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-104.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-105.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-106.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-107.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-108.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-109.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-11.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-110.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-111.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-112.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-113.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-114.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-115.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-116.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-117.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-118.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-119.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-12.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-120.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-121.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-122.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-123.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-124.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-125.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-126.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-127.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-128.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-129.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-13.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-130.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-131.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-132.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-133.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-134.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-135.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-136.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-137.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-138.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-139.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-140.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-141.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-142.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-143.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [b64/string_only/unsat]  symcc-unsat-144.smt2
    timeout: ['cvc5', 'noodler']  solved: ['z3']
  [cJSON/mixed/sat]  symcc-assertions-12.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-18.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-21.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-24.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-30.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-33.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-35.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-36.smt2
    timeout: ['ostrich', 'noodler']  solved: ['cvc5', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-37.smt2
    timeout: ['ostrich', 'noodler']  solved: ['cvc5', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-39.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-41.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/sat]  symcc-assertions-8.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-10.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-11.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-18.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-19.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-20.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-21.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-22.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-23.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-24.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-25.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-26.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-27.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-28.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-29.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-30.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-31.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-32.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-33.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-34.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-35.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-36.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-37.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-38.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-39.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-40.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-41.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-42.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/mixed/unsat]  symcc-unsat-9.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/string_only/sat]  symcc-assertions-12.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/string_only/sat]  symcc-assertions-18.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/string_only/sat]  symcc-assertions-21.smt2
    timeout: ['noodler']  solved: ['cvc5', 'ostrich', 'z3']
  [cJSON/string_only/sat]  symcc-assertions-24.smt2
